-2834	-1549	-5109	-715421	-391006	-1289739
-2837	-1548	-5115	-647548	-353458	-1167451
-2837	-1548	-5115	-530118	-289360	-955739
-2842	-1542	-5116	-447934	-243097	-806367
-2839	-1542	-5121	-386869	-210162	-697676
-2839	-1542	-5121	-341559	-185549	-615965
-2837	-1542	-5126	-304098	-165360	-549382
-2842	-1542	-5127	-275457	-149448	-496787
-2840	-1542	-5132	-251099	-136366	-453660
-2845	-1542	-5132	-231544	-125463	-417613
-2845	-1542	-5132	-214252	-116093	-386426
-2848	-1541	-5138	-199671	-108054	-360147
-2848	-1541	-5138	-1277	655	-2538
-2851	-1541	-5144	-1422	631	-2804
-2851	-1541	-5144	-1316	584	-2595
-2849	-1541	-5149	-1063	525	-2759
-2849	-1535	-5149	-774	868	-2261
-2852	-1535	-5155	-978	890	-2646
-2852	-1535	-5155	-660	463	-2585
-2857	-1534	-5155	-1173	519	-2308
-2855	-1535	-5160	-1016	501	-2632
-2852	-1535	-5165	-1020	502	-2641
-2858	-1534	-5166	-1020	502	-2637
-2863	-1534	-5167	-1532	558	-2361
-2861	-1534	-5172	-1017	500	-2628
-2860	-1528	-5172	-976	885	-2631
-2863	-1528	-5177	-976	883	-2626
-2863	-1528	-5177	-975	883	-2625
-2866	-1528	-5183	-1043	943	-2803
-2866	-1528	-5183	-1207	961	-2452
-2864	-1528	-5188	-1091	534	-2808
-2869	-1527	-5189	-1252	551	-2450
-2869	-1527	-5189	-1255	552	-2455
-2872	-1527	-5195	-1092	534	-2807
-2872	-1527	-5195	-1257	552	-2456
-2869	-1522	-5200	-979	882	-2622
-2875	-1521	-5200	-1211	960	-2450
-2872	-1521	-5205	-667	901	-2745
-2878	-1521	-5206	-1214	962	-2454
-2875	-1521	-5211	-981	882	-2621
-2875	-1521	-5211	-877	509	-2392
-2878	-1521	-5217	-1096	534	-2805
-2878	-1515	-5217	-836	921	-2399
-2881	-1514	-5222	-1053	944	-2805
-2881	-1514	-5222	-1217	962	-2454
-2879	-1515	-5227	-674	903	-2751
-2884	-1514	-5228	-1054	944	-2805
-2882	-1514	-5233	-674	903	-2749
-2887	-1514	-5234	-1056	944	-2806
-2887	-1514	-5234	-986	882	-2621
-2890	-1513	-5240	-1385	537	-2672
-2888	-1514	-5245	-879	483	-2954
-2893	-1513	-5245	-1387	538	-2673
-2893	-1513	-5245	-1032	499	-2623
-2891	-1513	-5250	-1033	500	-2624
-2894	-1513	-5256	-1238	522	-3007
-2899	-1512	-5257	-1390	538	-2674
-2899	-1512	-5257	-1431	155	-2672
-2902	-1512	-5263	-1432	155	-2672
-2900	-1512	-5267	-1280	139	-3001
-2905	-1512	-5268	-1788	194	-2722
-2903	-1512	-5273	-1282	139	-3002
-2908	-1511	-5274	-1790	194	-2722
-2906	-1512	-5279	-1283	139	-3000
-2912	-1511	-5280	-1639	178	-3051
-2909	-1511	-5285	-1284	139	-3000
-2915	-1511	-5285	-1538	167	-2858
-2918	-1510	-5291	-1755	190	-3261
-2915	-1511	-5296	-1755	190	-3259
-2921	-1510	-5297	-1921	208	-2911
-2924	-1510	-5303	-1759	191	-3262
-2924	-1510	-5303	-1760	191	-3264
-2927	-1509	-5308	-1762	191	-3263
-2930	-1509	-5314	-1851	201	-3427
-2930	-1509	-5314	-1763	191	-3263
-2933	-1509	-5320	-1855	201	-3430
-2936	-1508	-5325	-2210	240	-3477
-2936	-1508	-5325	-1854	201	-3426
-2939	-1508	-5331	-2212	240	-3477
-2942	-1508	-5337	-2369	257	-3721
-2940	-1508	-5342	-1828	198	-4019
-2946	-1507	-5342	-1990	216	-3667
-2949	-1507	-5348	-2374	257	-3721
-2952	-1507	-5354	-2213	240	-4071
-2955	-1506	-5360	-2215	240	-4071
-2955	-1506	-5360	-2068	224	-3801
-2958	-1506	-5365	-2217	240	-4071
-2956	-1506	-5370	-1836	199	-4016
-2959	-1506	-5376	-2060	223	-4425
-2962	-1506	-5382	-2058	223	-4417
-2967	-1505	-5382	-2221	241	-4066
-2965	-1505	-5387	-2062	223	-4420
-2968	-1505	-5393	-2065	224	-4422
-2971	-1505	-5399	-2068	224	-4423
-2969	-1505	-5404	-1781	193	-4457
-2972	-1504	-5409	-1910	207	-4775
-2975	-1504	-5415	-1992	216	-4836
-2973	-1504	-5420	-1639	178	-4793
-2976	-1504	-5426	-1640	178	-4791
-2980	-1504	-5431	-1641	178	-4786
-2977	-1504	-5436	-1377	149	-5073
-2980	-1504	-5442	-1496	162	-5117
-2984	-1503	-5448	-1858	201	-5173
-2981	-1504	-5453	-1505	163	-5137
-2985	-1503	-5458	-1510	163	-5143
-2982	-1503	-5463	-1004	109	-5432
-2986	-1503	-5469	-1367	148	-5487
-2983	-1503	-5474	-1008	109	-5430
-2987	-1503	-5480	-1011	109	-5436
-2990	-1503	-5485	-1373	149	-5486
-2987	-1503	-5490	-1017	110	-5441
-2991	-1503	-5496	-1018	110	-5438
-2988	-1503	-5501	-1018	110	-5428
-2992	-1502	-5507	-1021	110	-5432
-2989	-1503	-5512	-666	72	-5398
-2993	-1502	-5517	-1030	111	-5456
-2990	-1503	-5522	-672	72	-5413
-2991	-1502	-5533	-527	57	-5745
-2989	-1503	-5538	-529	57	-5743
-2992	-1502	-5544	-532	57	-5748
-2990	-1503	-5549	-533	57	-5741
-2994	-1502	-5554	-536	58	-5748
-2991	-1502	-5559	-540	58	-5766
-2995	-1502	-5565	-542	58	-5768
-2992	-1502	-5570	-183	19	-5731
-2996	-1502	-5576	-548	59	-5782
-2991	-1502	-5586	-41	4	-6071
-2991	-1502	-5586	-189	20	-5732
-2992	-1502	-5596	-46	5	-6063
-2990	-1503	-5601	-48	5	-6050
-2993	-1502	-5607	-51	5	-6037
-2991	-1502	-5612	-53	5	-6024
-2994	-1502	-5618	-201	21	-5674
-2992	-1502	-5623	-203	22	-5667
-2996	-1502	-5628	-204	22	-5650
-2993	-1502	-5633	-207	22	-5649
-2997	-1502	-5639	-377	40	-5676
-2995	-1502	-5644	1	0	-5616
-2992	-1502	-5649	0	0	-5602
-2996	-1502	-5655	-2	0	-5591
-2993	-1502	-5660	-157	17	-5240
-2997	-1502	-5665	-386	41	-5642
-2995	-1502	-5670	-161	17	-5256
-2998	-1502	-5676	-543	59	-5302
-2996	-1502	-5681	-165	17	-5254
-2994	-1502	-5686	-167	18	-5252
-2996	-1496	-5692	-126	422	-5258
-2994	-1496	-5697	-128	422	-5252
-2997	-1496	-5702	-130	421	-5249
-2995	-1496	-5707	-132	423	-5267
-2999	-1496	-5713	-133	420	-5227
-2996	-1496	-5718	-136	422	-5250
-3000	-1496	-5724	-519	464	-5310
-3000	-1496	-5724	-290	441	-4918
-2998	-1496	-5729	-292	441	-4920
-3001	-1496	-5734	-294	442	-4926
-2999	-1496	-5739	-295	441	-4913
-3002	-1496	-5745	-297	441	-4912
-3000	-1496	-5750	-299	441	-4913
-2998	-1496	-5755	-301	441	-4914
-3003	-1495	-5756	-495	53	-4558
-3006	-1489	-5762	-835	499	-4608
-3004	-1490	-5767	-455	458	-4561
-3002	-1490	-5772	-456	457	-4548
-3005	-1489	-5777	-460	460	-4575
-3005	-1489	-5777	-609	475	-4208
-3003	-1490	-5782	-229	433	-4158
-3006	-1489	-5788	-461	457	-4551
-3004	-1490	-5793	-463	458	-4551
-3002	-1490	-5798	-85	417	-4506
-3007	-1484	-5799	-571	878	-4199
-3005	-1484	-5804	-192	838	-4156
-3008	-1483	-5809	-574	879	-4202
-3006	-1484	-5814	-578	881	-4215
-3005	-1478	-5814	-152	1245	-4166
-3009	-1478	-5820	-197	839	-4162
-3007	-1478	-5825	-199	839	-4162
-3005	-1478	-5830	-200	839	-4159
-3010	-1477	-5831	-348	855	-3804
-3008	-1478	-5836	-202	838	-4155
-3005	-1472	-5841	-160	1241	-4154
-3005	-1472	-5841	72	1218	-3755
-3008	-1472	-5846	-310	1259	-3803
-3006	-1472	-5852	-311	1258	-3800
-3006	-1472	-5852	26	814	-3755
-3009	-1466	-5857	-313	1259	-3804
-3009	-1466	-5857	-79	1235	-3402
-3007	-1466	-5862	-80	1233	-3398
-3005	-1466	-5867	21	815	-3760
-3005	-1466	-5867	256	791	-3362
-3008	-1460	-5873	-84	1239	-3413
-3008	-1460	-5873	-231	1256	-3057
-3006	-1461	-5878	297	1200	-3372
-3004	-1461	-5883	413	1106	-3484
-3003	-1455	-5883	148	1216	-3013
-3006	-1455	-5889	-88	1240	-3416
-3006	-1455	-5889	147	1215	-3013
-3004	-1455	-5894	146	1216	-3013
-3004	-1455	-5894	146	1216	-3013
-3004	-1455	-5894	137	1137	-2818
-3002	-1455	-5899	454	720	-2777
-3002	-1450	-5899	494	1100	-2779
-3000	-1450	-5904	494	1103	-2786
-3000	-1450	-5904	357	1118	-2449
-2998	-1450	-5909	492	1103	-2784
-2998	-1450	-5909	675	699	-2405
-2995	-1444	-5914	851	1066	-2743
-3000	-1444	-5915	354	1117	-2446
-3000	-1444	-5915	217	1130	-2107
-2998	-1444	-5920	313	737	-2450
-2998	-1444	-5920	536	713	-2068
-2996	-1444	-5925	671	699	-2404
-2996	-1444	-5925	534	713	-2066
-2996	-1444	-5925	535	713	-2066
-2994	-1445	-5930	570	761	-2205
-2994	-1445	-5930	526	354	-2202
-2994	-1445	-5930	380	368	-1837
-2992	-1445	-5935	524	353	-2196
-2992	-1445	-5935	380	369	-1837
-2992	-1445	-5935	380	369	-1838
-2998	-1444	-5935	-187	19	-1524
-2998	-1444	-5935	193	-20	-1480
-2996	-1444	-5940	337	-35	-1843
-2996	-1444	-5940	193	-20	-1480
-2994	-1445	-5945	336	-35	-1839
-2994	-1445	-5945	192	-20	-1481
-2994	-1445	-5945	192	-20	-1482
-2994	-1445	-5945	192	-20	-1481
-2992	-1445	-5950	192	-20	-1485
-2992	-1445	-5950	192	-20	-1486
-2992	-1445	-5950	192	-20	-1487
-2992	-1445	-5950	48	-5	-1126
-2990	-1445	-5956	192	-20	-1487
-2990	-1445	-5956	192	-20	-1487
-2990	-1445	-5956	575	-60	-1442
-2990	-1445	-5956	575	-60	-1442
-2990	-1445	-5956	430	-44	-1080
-2988	-1445	-5961	574	-60	-1441
-2988	-1445	-5961	431	-45	-1082
-2988	-1445	-5961	431	-45	-1082
-2986	-1445	-5966	574	-59	-1443
-2986	-1445	-5966	537	-56	-1349
-2986	-1445	-5966	536	-56	-1348
-2984	-1446	-5971	535	-55	-1347
-2984	-1446	-5971	535	-55	-1348
-2984	-1446	-5971	573	-59	-1443
-2984	-1446	-5971	422	-44	-1064
-2982	-1446	-5976	535	-55	-1347
-2982	-1446	-5976	535	-55	-1347
-2987	-1445	-5976	177	-18	-1389
-2987	-1445	-5976	177	-18	-1390
-2985	-1446	-5981	311	-32	-1728
-2985	-1446	-5981	177	-18	-1393
-2985	-1446	-5981	177	-18	-1393
-2983	-1446	-5987	310	-32	-1731
-2983	-1446	-5987	176	-18	-1391
-2983	-1446	-5987	188	-19	-1488
-2981	-1446	-5992	188	-19	-1489
-2981	-1446	-5992	187	-19	-1488
-2981	-1446	-5992	188	-19	-1488
-2981	-1446	-5992	191	-19	-1515
-2979	-1446	-5997	313	-32	-1756
-2984	-1446	-5997	-195	20	-1533
-2984	-1446	-5997	187	-19	-1488
-2984	-1446	-5997	187	-19	-1488
-2982	-1446	-6002	186	-19	-1487
-2982	-1446	-6002	186	-19	-1484
-2982	-1446	-6002	186	-19	-1484
-2980	-1446	-6007	185	-19	-1484
-2980	-1446	-6007	186	-19	-1487
-2980	-1446	-6007	186	-19	-1488
-2978	-1446	-6012	185	-19	-1489
-2984	-1446	-6013	-197	20	-1534
-2984	-1446	-6013	-184	19	-1432
-2984	-1446	-6013	-197	20	-1534
-2982	-1446	-6018	-198	20	-1533
-2982	-1446	-6018	185	-19	-1490
-2987	-1445	-6019	-185	19	-1432
-2987	-1445	-6019	-185	19	-1432
-2985	-1446	-6024	-198	20	-1533
-2985	-1446	-6024	-198	20	-1534
-2983	-1446	-6029	-57	5	-1895
-2983	-1446	-6029	-199	20	-1534
-2983	-1446	-6029	-186	19	-1432
-2983	-1446	-6029	-186	19	-1432
-2981	-1446	-6034	-200	20	-1534
-2987	-1445	-6035	-200	20	-1534
-2987	-1445	-6035	-200	20	-1533
-2985	-1446	-6040	-58	6	-1896
-2985	-1446	-6040	-200	20	-1535
-2985	-1446	-6040	-187	19	-1432
-2988	-1445	-6045	-59	6	-1895
-2988	-1445	-6045	-59	6	-1895
-2988	-1445	-6045	-201	21	-1534
-2986	-1445	-6050	-56	5	-1771
-2986	-1445	-6050	-201	21	-1535
-2986	-1445	-6050	-188	19	-1432
-2989	-1445	-6056	-415	43	-1811
-2989	-1445	-6056	-444	46	-1939
-2989	-1445	-6056	-586	61	-1579
-2987	-1445	-6061	-415	43	-1811
-2993	-1445	-6062	-416	43	-1812
-2993	-1445	-6062	-416	43	-1815
-2991	-1445	-6067	-417	43	-1816
-2991	-1445	-6067	-417	43	-1814
-2989	-1445	-6072	-285	29	-2151
-2989	-1445	-6072	-59	6	-1771
-2994	-1445	-6072	-417	43	-1811
-2992	-1445	-6078	-286	29	-2149
-2992	-1445	-6078	-447	46	-1941
-2992	-1445	-6078	-417	43	-1811
-2996	-1444	-6083	-448	46	-1940
-2996	-1444	-6083	-418	43	-1812
-2996	-1444	-6083	-419	43	-1815
-2994	-1445	-6088	-288	30	-2152
-2994	-1445	-6088	-419	43	-1813
-2997	-1444	-6094	-308	32	-2298
-2997	-1444	-6094	-448	46	-1936
-3001	-1444	-6100	-692	72	-2342
-3001	-1444	-6100	-833	87	-1982
-3001	-1444	-6100	-834	87	-1984
-2999	-1444	-6105	-648	67	-2190
-2999	-1444	-6105	-290	30	-2150
-2999	-1444	-6105	-421	43	-1811
-3004	-1444	-6105	-779	81	-1851
-3002	-1444	-6110	-452	47	-1940
-3002	-1444	-6110	-422	44	-1811
-3000	-1444	-6115	-312	32	-2299
-3000	-1444	-6115	-452	47	-1938
-3000	-1444	-6115	-452	47	-1940
-3003	-1444	-6121	-453	47	-1940
-3003	-1444	-6121	-423	44	-1811
-3003	-1444	-6121	-209	21	-1535
-3002	-1444	-6126	-70	7	-1898
-3002	-1444	-6126	-66	6	-1772
-3002	-1444	-6126	-210	21	-1534
-3007	-1443	-6127	-593	61	-1577
-3007	-1443	-6127	-594	62	-1578
-3005	-1443	-6132	-71	7	-1897
-3005	-1443	-6132	-211	22	-1536
-3010	-1443	-6132	-555	57	-1473
-3008	-1443	-6138	-425	44	-1812
-3008	-1443	-6138	-556	58	-1473
-3008	-1443	-6138	-555	58	-1473
-3008	-1443	-6138	-350	36	-1173
-3008	-1443	-6138	-350	36	-1172
-3008	-1443	-6138	-351	36	-1173
-3006	-1443	-6143	-198	20	-1434
-3006	-1443	-6143	-328	34	-1096
-3006	-1443	-6143	-328	34	-1096
-3012	-1443	-6143	-687	71	-1136
-3012	-1443	-6143	-328	34	-1097
-3012	-1443	-6143	-329	34	-1099
-3012	-1443	-6143	-460	48	-760
-3012	-1443	-6143	-459	48	-759
-3012	-1443	-6143	-99	10	-720
-3012	-1443	-6143	-229	23	-379
-3010	-1443	-6148	-99	10	-718
-3010	-1443	-6148	-99	10	-719
-3010	-1443	-6148	-99	10	-718
-3010	-1443	-6148	-99	10	-718
-3010	-1443	-6148	-99	10	-716
-3015	-1442	-6149	-587	61	-417
-3015	-1442	-6149	-628	65	-446
-3015	-1442	-6149	-244	25	-404
-3015	-1442	-6149	-244	25	-403
-3015	-1442	-6149	-244	25	-403
-3015	-1442	-6149	-243	25	-402
-3015	-1442	-6149	-244	25	-402
-3015	-1442	-6149	-244	25	-403
-3015	-1442	-6149	-244	25	-403
-3015	-1442	-6149	-382	39	-41
-3015	-1442	-6149	-382	39	-41
-3015	-1442	-6149	-382	39	-41
-3015	-1442	-6149	-383	40	-42
-3015	-1442	-6149	-383	40	-42
-3015	-1442	-6149	0	0	0
-3015	-1442	-6149	0	0	0
-3021	-1442	-6149	-383	40	-41
-3021	-1442	-6149	-383	40	-41
-3021	-1442	-6149	-383	40	-41
-3021	-1442	-6149	-358	37	-39
-3021	-1442	-6149	-358	37	-39
-3021	-1442	-6149	-383	40	-41
-3021	-1442	-6149	-383	40	-41
-3021	-1442	-6149	-358	37	-39
-3021	-1442	-6149	-358	37	-39
-3021	-1442	-6149	-358	37	-39
-3021	-1442	-6149	-383	40	-41
-3021	-1442	-6149	-383	40	-41
-3021	-1442	-6149	-383	40	-41
-3026	-1441	-6150	-767	80	-83
-3026	-1441	-6150	-716	74	-78
-3026	-1441	-6150	-358	37	-39
-3026	-1441	-6150	-358	37	-39
-3026	-1441	-6150	-383	40	-41
-3026	-1441	-6150	-383	40	-41
-3026	-1441	-6150	-383	40	-41
-3026	-1441	-6150	-358	37	-38
-3026	-1441	-6150	-358	37	-39
-3026	-1441	-6150	-383	40	-41
-3026	-1441	-6150	-358	37	-39
-3026	-1441	-6150	-358	37	-39
-3026	-1441	-6150	-358	37	-39
-3026	-1441	-6150	-358	37	-39
-3026	-1441	-6150	-358	37	-39
-3026	-1441	-6150	0	0	0
-3026	-1441	-6150	0	0	0
-3024	-1441	-6155	138	-14	-362
-3024	-1441	-6155	138	-14	-363
-3024	-1441	-6155	129	-13	-338
-3024	-1441	-6155	129	-13	-338
-3024	-1441	-6155	138	-14	-362
-3024	-1441	-6155	129	-13	-338
-3024	-1441	-6155	138	-14	-362
-3024	-1441	-6155	129	-13	-338
-3024	-1441	-6155	138	-14	-362
-3024	-1441	-6155	138	-14	-362
-3024	-1441	-6155	138	-14	-362
-3024	-1441	-6155	138	-14	-362
-3022	-1442	-6160	276	-28	-725
-3022	-1442	-6160	276	-28	-725
-3022	-1442	-6160	138	-14	-363
-3022	-1442	-6160	138	-14	-362
-3022	-1442	-6160	138	-14	-362
-3022	-1442	-6160	138	-14	-362
-3022	-1442	-6160	128	-13	-338
-3022	-1442	-6160	128	-13	-338
-3022	-1442	-6160	138	-14	-363
-3028	-1441	-6161	-229	23	-377
-3028	-1441	-6161	-229	23	-377
-3028	-1441	-6161	-229	23	-377
-3028	-1441	-6161	-245	25	-404
-3028	-1441	-6161	-245	25	-404
-3028	-1441	-6161	-383	40	-41
-3028	-1441	-6161	-358	37	-38
-3026	-1441	-6166	-229	23	-377
-3026	-1441	-6166	-229	23	-378
-3026	-1441	-6166	-229	24	-378
-3031	-1441	-6166	-590	61	-417
-3031	-1441	-6166	-590	61	-418
-3031	-1441	-6166	-590	61	-418
-3031	-1441	-6166	-590	61	-418
-3031	-1441	-6166	-590	61	-418
-3031	-1441	-6166	-230	24	-379
-3031	-1441	-6166	-231	24	-380
-3028	-1435	-6172	-61	392	-723
-3028	-1435	-6172	-61	392	-722
-3028	-1435	-6172	-61	392	-723
-3028	-1435	-6172	-62	392	-723
-3034	-1435	-6172	-423	430	-762
-3034	-1435	-6172	-554	444	-420
-3034	-1435	-6172	-554	444	-420
-3034	-1435	-6172	-555	445	-421
-3034	-1435	-6172	-192	406	-381
-3034	-1435	-6172	-192	407	-382
-3034	-1435	-6172	-192	407	-382
-3034	-1435	-6172	-192	407	-382
-3034	-1435	-6172	-192	406	-381
-3032	-1435	-6177	-62	392	-723
-3032	-1435	-6177	-62	392	-723
-3032	-1435	-6177	-231	24	-379
-3037	-1434	-6178	-593	61	-419
-3037	-1434	-6178	-594	61	-420
-3037	-1434	-6178	-595	61	-420
-3037	-1434	-6178	-232	24	-381
-3035	-1429	-6183	-62	392	-723
-3035	-1429	-6183	-62	392	-722
-3035	-1429	-6183	-62	391	-722
-3035	-1429	-6183	-62	391	-721
-3035	-1429	-6183	-62	391	-720
-3035	-1429	-6183	-62	391	-720
-3035	-1429	-6183	-62	391	-720
-3035	-1429	-6183	-62	391	-721
-3035	-1429	-6183	-192	405	-380
-3035	-1429	-6183	-192	405	-380
-3035	-1429	-6183	-192	406	-381
-3035	-1429	-6183	169	367	-341
-3033	-1429	-6188	297	353	-682
-3033	-1429	-6188	297	353	-681
-3033	-1429	-6188	297	353	-681
-3033	-1429	-6188	129	-13	-342
-3033	-1429	-6188	129	-13	-342
-3033	-1429	-6188	129	-13	-342
-3033	-1429	-6188	129	-13	-342
-3033	-1429	-6188	129	-13	-342
-3033	-1429	-6188	129	-13	-342
-3033	-1429	-6188	129	-13	-342
-3033	-1429	-6188	129	-13	-342
-3033	-1429	-6188	129	-13	-342
-3033	-1429	-6188	129	-13	-342
-3033	-1429	-6188	129	-13	-343
-3033	-1429	-6188	129	-13	-342
-3033	-1429	-6188	0	0	0
-3033	-1429	-6188	0	0	0
-3031	-1429	-6193	129	-13	-343
-3031	-1429	-6193	129	-13	-342
-3031	-1429	-6193	129	-13	-342
-3031	-1429	-6193	129	-13	-342
-3031	-1429	-6193	129	-13	-342
-3031	-1429	-6193	129	-13	-342
-3031	-1429	-6193	129	-13	-342
-3031	-1429	-6193	129	-13	-342
-3031	-1429	-6193	129	-13	-342
-3031	-1429	-6193	129	-13	-342
-3031	-1429	-6193	129	-13	-342
-3031	-1429	-6193	129	-13	-341
-3031	-1429	-6193	129	-13	-341
-3031	-1429	-6193	129	-13	-342
-3031	-1429	-6193	0	0	0
-3031	-1429	-6193	0	0	0
-3031	-1429	-6193	0	0	0
-3031	-1429	-6193	0	0	0
-3031	-1429	-6193	0	0	0
-3029	-1429	-6198	129	-13	-342
-3029	-1429	-6198	129	-13	-342
-3029	-1429	-6198	129	-13	-342
-3029	-1429	-6198	129	-13	-342
-3029	-1429	-6198	129	-13	-342
-3029	-1429	-6198	129	-13	-342
-3029	-1429	-6198	129	-13	-342
-3029	-1429	-6198	129	-13	-342
-3029	-1429	-6198	129	-13	-342
-3029	-1429	-6198	128	-13	-341
-3029	-1429	-6198	130	-13	-346
-3027	-1430	-6203	257	-26	-683
-3027	-1430	-6203	257	-26	-683
-3027	-1430	-6203	257	-26	-683
-3027	-1430	-6203	257	-26	-683
-3027	-1430	-6203	128	-13	-341
-3032	-1429	-6204	-232	24	-380
-3032	-1429	-6204	-232	24	-380
-3032	-1429	-6204	-232	24	-380
-3032	-1429	-6204	-232	24	-381
-3032	-1429	-6204	-232	24	-381
-3032	-1429	-6204	-232	24	-381
-3032	-1429	-6204	-232	24	-381
-3031	-1429	-6209	-103	10	-723
-3031	-1429	-6209	-103	10	-723
-3031	-1429	-6209	-103	10	-723
-3031	-1429	-6209	-233	24	-381
-3031	-1429	-6209	-233	24	-382
-3031	-1429	-6209	-233	24	-381
-3031	-1429	-6209	-233	24	-381
-3031	-1429	-6209	-233	24	-381
-3036	-1429	-6209	-233	24	-381
-3036	-1429	-6209	-233	24	-381
-3034	-1429	-6215	-104	10	-723
-3034	-1429	-6215	-104	10	-723
-3034	-1429	-6215	-104	10	-723
-3034	-1429	-6215	-103	10	-722
-3034	-1429	-6215	-103	10	-722
-3034	-1429	-6215	-232	24	-380
-3034	-1429	-6215	-232	24	-380
-3034	-1429	-6215	-232	24	-380
-3034	-1429	-6215	-232	24	-379
-3034	-1429	-6215	-232	24	-379
-3034	-1429	-6215	-232	24	-379
-3039	-1428	-6215	-592	61	-417
-3039	-1428	-6215	-592	61	-417
-3039	-1428	-6215	-231	24	-379
-3037	-1429	-6220	-103	10	-720
-3037	-1429	-6220	-231	23	-378
-3037	-1429	-6220	-231	24	-378
-3037	-1429	-6220	-231	24	-378
-3037	-1429	-6220	-232	24	-379
-3037	-1429	-6220	-231	24	-378
-3043	-1428	-6221	-592	61	-417
-3041	-1428	-6226	-464	48	-758
-3041	-1428	-6226	-464	48	-758
-3041	-1428	-6226	-464	48	-758
-3041	-1428	-6226	-464	48	-758
-3041	-1428	-6226	-464	48	-759
-3041	-1428	-6226	-104	10	-720
-3041	-1428	-6226	-104	10	-720
-3041	-1428	-6226	-104	10	-721
-3041	-1428	-6226	-232	24	-379
-3041	-1428	-6226	-233	24	-380
-3041	-1428	-6226	-233	24	-380
-3041	-1428	-6226	-233	24	-380
-3039	-1428	-6231	-104	10	-723
-3039	-1428	-6231	-104	10	-723
-3039	-1428	-6231	256	-26	-684
-3039	-1428	-6231	128	-13	-342
-3039	-1428	-6231	128	-13	-342
-3039	-1428	-6231	128	-13	-343
-3039	-1428	-6231	128	-13	-343
-3039	-1428	-6231	128	-13	-343
-3039	-1428	-6231	128	-13	-343
-3039	-1428	-6231	128	-13	-343
-3039	-1428	-6231	128	-13	-343
-3039	-1428	-6231	128	-13	-344
-3039	-1428	-6231	128	-13	-343
-3039	-1428	-6231	128	-13	-343
-3039	-1428	-6231	128	-13	-343
-3039	-1428	-6231	0	0	0
-3039	-1428	-6231	0	0	0
-3039	-1428	-6231	0	0	0
-3037	-1429	-6236	128	-13	-344
-3037	-1429	-6236	128	-13	-343
-3037	-1429	-6236	128	-13	-343
-3037	-1429	-6236	128	-13	-343
-3037	-1429	-6236	128	-13	-343
-3037	-1429	-6236	128	-13	-343
-3037	-1429	-6236	128	-13	-343
-3037	-1429	-6236	128	-13	-343
-3037	-1429	-6236	128	-13	-342
-3037	-1429	-6236	128	-13	-343
-3037	-1429	-6236	128	-13	-343
-3037	-1429	-6236	128	-13	-343
-3037	-1429	-6236	128	-13	-343
-3037	-1429	-6236	128	-13	-342
-3037	-1429	-6236	128	-13	-342
-3037	-1429	-6236	0	0	0
-3037	-1429	-6236	0	0	0
-3037	-1429	-6236	0	0	0
-3042	-1428	-6237	-361	37	-38
-3042	-1428	-6237	-361	37	-38
-3042	-1428	-6237	-361	37	-38
-3042	-1428	-6237	-361	37	-38
-3042	-1428	-6237	-361	37	-37
-3042	-1428	-6237	-361	37	-37
-3042	-1428	-6237	-361	37	-37
-3042	-1428	-6237	-361	37	-37
-3042	-1428	-6237	-361	37	-37
-3042	-1428	-6237	-361	37	-37
-3042	-1428	-6237	-361	37	-37
-3042	-1428	-6237	-360	37	-37
-3041	-1428	-6242	-233	24	-380
-3041	-1428	-6242	-233	24	-380
-3041	-1428	-6242	-233	24	-380
-3041	-1428	-6242	127	-13	-342
-3041	-1428	-6242	128	-13	-342
-3041	-1428	-6242	128	-13	-343
-3041	-1428	-6242	128	-13	-343
-3041	-1428	-6242	128	-13	-343
-3041	-1428	-6242	128	-13	-342
-3046	-1428	-6242	-233	24	-380
-3046	-1428	-6242	-233	24	-380
-3046	-1428	-6242	-233	24	-380
-3044	-1428	-6247	-105	10	-723
-3044	-1428	-6247	-105	10	-723
-3044	-1428	-6247	-105	10	-724
-3044	-1428	-6247	-234	24	-381
-3044	-1428	-6247	-234	24	-381
-3044	-1428	-6247	-234	24	-381
-3044	-1428	-6247	-234	24	-381
-3044	-1428	-6247	-233	24	-380
-3049	-1427	-6248	-595	61	-418
-3049	-1427	-6248	-595	61	-418
-3048	-1428	-6253	-468	48	-762
-3048	-1428	-6253	-468	48	-762
-3048	-1428	-6253	-106	11	-724
-3048	-1428	-6253	-106	11	-724
-3048	-1428	-6253	-106	10	-723
